#Tmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17
TIMESTEP,MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C)
1981-8-01T00:00:00Z,20.41294873,21.86399993,25.06972214,24.33361123,25.72989854,26.0430508,20.4313187,25.6682103,23.5576771,22.37636628,25.15589251,25.0177038,21.71936148,24.20021562,21.71354022,24.06296086,19.9375472,10.41212844,13.52947102,6.902184474,5.559446928,0.8299009254,1.620712767,3.410305555,3.514645677,8.319080843,8.123083801,7.003442933,5.127265512,5.263374816,7.367017981,14.34198702,8.250768196,1.933994326,3.226782987,3.678242926,2.627200882,2.357847944,0.910988982,1.273072177,1.846701263,1.874738829,2.884281686,2.850102419,2.646401884,2.264346597,2.294204615,2.714225116,3.787081596,2.872415046,1.390681245
1981-9-01T00:00:00Z,20.18474356,21.23096545,23.56911251,23.15536643,23.99773467,24.01661016,20.26930411,23.91797047,22.54113181,21.73393892,23.56596381,23.6333174,21.14888774,23.03213929,21.3462299,22.9752674,20.32132088,5.856373062,6.12243757,3.214688678,3.400423899,0.4681316258,0.5676157545,1.777029901,1.563853825,4.323177851,4.223497653,3.436279444,2.657318971,2.979750741,3.967878397,7.310154063,4.430944137,1.098654917,2.419994434,2.474355991,1.792955292,1.844023834,0.6842014512,0.7534027837,1.33305285,1.250541413,2.079225301,2.055114998,1.853720433,1.630128514,1.726195453,1.991953412,2.703729658,2.104980793,1.048167409
1981-10-01T00:00:00Z,18.9452564,19.01758619,20.04148778,20.31805433,20.18412228,19.71864403,19.13040294,20.40619924,19.94865935,19.72186049,19.93708252,20.37724041,19.45122211,20.07810948,19.75514944,20.1837048,19.62103774,1.304678769,0.4306969292,0.4157657574,0.7185357251,0.3994507552,0.1477303378,0.647617035,0.2447062212,0.5641480008,0.4607357371,0.2971689869,0.2864433538,0.7857329956,0.4299019165,1.183435019,0.7891637364,0.2370848132,1.142225358,0.6562750408,0.6447990055,0.847664866,0.6320211667,0.3843570447,0.8047465657,0.4946778964,0.7510978636,0.6787751742,0.545132082,0.53520403,0.8864158142,0.6556690602,1.087857996,0.8883488821,0.4869135583
1981-11-01T00:00:00Z,18.40141034,17.34993109,16.59003882,17.91388019,16.66192795,15.58542376,18.52124538,16.54583025,17.51812024,17.85610464,16.52808337,17.10289199,18.35592173,17.40278609,17.93896552,17.70005975,18.67339624,1.102358446,3.979446278,2.006630513,0.488754137,1.504815868,1.604560629,0.08311051314,0.9687815296,1.317644013,1.362276456,1.66503397,1.115659494,0.2631998353,1.51198432,1.040166034,1.235832331,0.02843374668,1.049932591,1.994854951,1.416555863,0.6991095315,1.226709366,1.266712528,0.2882889404,0.9842670012,1.14788676,1.167165993,1.290361953,1.056247838,0.513030053,1.229627716,1.019885304,1.111679959,0.1686230906
1981-12-01T00:00:00Z,16.24397432,15.16655169,14.44357764,15.79918551,14.22014206,13.43661009,16.28434064,14.65878228,15.28507763,15.5787064,14.25171649,15.02270198,16.10606591,15.26726368,15.76450573,15.47629221,16.1178302,1.057626423,3.810801798,1.557180462,0.2917214709,0.977387071,0.9909480112,0.110800774,0.7077623584,1.080426078,1.06628803,1.351201727,0.7009961581,0.2551317273,1.010785374,0.6891336478,1.05250837,0.007316980276,1.028409657,1.952127506,1.247870371,0.5401124613,0.9886288844,0.9954637166,0.3328675022,0.8412861335,1.039435461,1.032612236,1.16241203,0.8372551332,0.5051056595,1.005378224,0.8301407397,1.025918306,0.08553934929
1982-1-01T00:00:00Z,13.58782049,12.53393102,11.79501689,13.11501896,11.38249619,10.61457623,13.57465202,12.03239852,12.68939882,13.11659883,11.56655607,12.40940051,13.42194987,12.6725539,13.28089657,12.8206095,13.99028302,1.052722162,4.189025136,2.073663911,0.3907416612,0.9360750275,1.183333446,0.2678666458,0.9906912796,1.372528261,1.464676248,1.745944805,1.04516808,0.3551287803,1.354338432,0.9320104547,1.309509643,0.01155179915,1.026022496,2.046710809,1.440022191,0.625093322,0.9675097041,1.08781131,0.5175583502,0.9953347576,1.171549513,1.210238096,1.321342047,1.022334623,0.5959268246,1.16376047,0.9654068856,1.144338081,0.1074792964
1982-2-01T00:00:00Z,15.9303845,14.996069,14.24588174,15.45179535,13.59121258,13.10644061,15.67739927,14.45961256,14.97987582,15.42521805,13.95522622,14.82853991,15.60389289,15.07026534,15.70682761,15.16377055,16.42037731,1.140403607,4.039298479,1.947888512,0.5552914607,0.6444220209,0.8122805893,0.8494503989,0.7847561558,1.346187192,1.365683666,1.690825873,1.089793804,0.630443768,1.451809588,1.053571178,1.517515731,0.02016023394,1.067896815,2.009800607,1.395667766,0.7451788112,0.8027590055,0.9012661035,0.9216563345,0.8858646374,1.160253072,1.16862469,1.300317605,1.043931896,0.7940048917,1.204910614,1.026436154,1.231874885,0.1419867386
1982-3-01T00:00:00Z,14.75448717,13.5851724,12.27290366,13.63317632,12.24981227,11.31847454,14.84034799,11.94271221,13.31408975,13.76155524,12.19886207,12.66830207,14.5233299,13.14922056,13.90004599,13.45632805,14.83358491,1.892406609,5.257977985,2.379868205,1.148736773,1.076330198,1.255924836,0.2332326498,0.9139533066,2.061411117,2.226187515,2.009943235,1.566197694,0.7348158957,2.231522246,2.290944384,2.014472823,0.03513243429,1.375647705,2.293028126,1.542682147,1.071791385,1.037463348,1.120680523,0.4829416629,0.9560090515,1.435761511,1.492041392,1.417724668,1.251478203,0.8572140314,1.493828051,1.513586596,1.419321254,0.1874364807
1982-4-01T00:00:00Z,16.85076924,16.3151035,16.20061072,17.0338347,16.08525622,15.63220336,17.02247256,16.42238009,16.7146994,16.89816857,16.01396763,16.62499325,17.03155853,16.63666667,16.93243673,16.79189425,17.30792456,0.4872891707,1.413780862,0.7757065441,0.241074415,0.5492548575,0.3149934973,0.1141057777,0.4632251715,0.4338012326,0.4029207365,0.6197724542,0.4279488385,0.1356652681,0.443883257,0.3039407133,0.5891787455,0.07922220652,0.6980610079,1.189025173,0.8807420418,0.4909932943,0.7411173034,0.5612428149,0.3377954672,0.6806064733,0.6586358877,0.6347603772,0.7872562824,0.6541779868,0.3683276641,0.6662456431,0.5513081836,0.7675797975,0.2814643965
1982-5-01T00:00:00Z,16.50794867,16.95358624,18.25058663,18.21138677,18.69212838,18.29728815,16.53699627,18.30083029,17.8042958,17.31289249,18.39526186,18.31971191,17.09092345,17.99568823,17.05820688,18.09079175,16.51150943,1.836106073,1.327227187,0.9591818059,1.013922748,0.2300348547,0.1508535622,0.7034033752,0.4275390267,1.460423159,1.386740635,1.136838691,0.8357179008,1.068542579,1.187650702,2.099073024,1.385272166,0.427078812,1.355029916,1.152053465,0.9793782752,1.006937311,0.4796194895,0.3883987155,0.8386914661,0.6538646853,1.208479689,1.177599522,1.066226379,0.9141760776,1.033703332,1.089793881,1.448817802,1.176975856,0.6535126717
